player_name,draft_year,college,season,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_share,tds_share,dominator_rating
Henry Ruggs III,2020,Alabama,2019,746.0,7.0,4449.0,49.0,16.8,14.3,15.5
Jerry Jeudy,2020,Alabama,2019,1163.0,10.0,4449.0,49.0,26.1,20.4,23.3
CeeDee Lamb,2020,Oklahoma,2019,1327.0,14.0,4164.0,36.0,31.9,38.9,35.4
Jalen Reagor,2020,TCU,2019,611.0,5.0,2444.0,15.0,25.0,33.3,29.2
Justin Jefferson,2020,LSU,2019,1540.0,18.0,6024.0,61.0,25.6,29.5,27.5
Brandon Aiyuk,2020,Arizona State,2019,1192.0,8.0,3235.0,21.0,36.8,38.1,37.5
Tee Higgins,2020,Clemson,2019,1167.0,13.0,4325.0,40.0,27.0,32.5,29.7
Michael Pittman Jr.,2020,USC,2019,1275.0,11.0,4365.0,35.0,29.2,31.4,30.3
Laviska Shenault Jr.,2020,Colorado,2019,764.0,4.0,2858.0,18.0,26.7,22.2,24.5
KJ Hamler,2020,Penn State,2019,904.0,8.0,2877.0,25.0,31.4,32.0,31.7
Chase Claypool,2020,Notre Dame,2019,1037.0,13.0,3278.0,37.0,31.6,35.1,33.4
Van Jefferson,2020,Florida,2019,657.0,6.0,3910.0,33.0,16.8,18.2,17.5
Denzel Mims,2020,Baylor,2019,1020.0,12.0,3571.0,24.0,28.6,50.0,39.3
Lynn Bowden Jr.,2020,Kentucky,2019,348.0,1.0,1478.0,9.0,23.5,11.1,17.3
Bryan Edwards,2020,South Carolina,2019,816.0,6.0,2667.0,12.0,30.6,50.0,40.3
Devin Duvernay,2020,Texas,2019,1386.0,9.0,3761.0,32.0,36.9,28.1,32.5
Gabriel Davis,2020,UCF,2019,1241.0,12.0,4117.0,36.0,30.1,33.3,31.7
Antonio Gandy-Golden,2020,Liberty,2019,1396.0,10.0,3756.0,29.0,37.2,34.5,35.8
Joe Reed,2020,Virginia,2019,679.0,7.0,3748.0,23.0,18.1,30.4,24.3
Tyler Johnson,2020,Minnesota,2019,1318.0,13.0,3293.0,31.0,40.0,41.9,41.0
Collin Johnson,2020,Texas,2019,559.0,3.0,3761.0,32.0,14.9,9.4,12.1
Quintez Cephus,2020,Wisconsin,2019,901.0,7.0,2802.0,18.0,32.2,38.9,35.5
John Hightower,2020,Boise State,2019,943.0,8.0,3664.0,31.0,25.7,25.8,25.8
Isaiah Coulter,2020,Rhode Island,2019,205.0,,,,,,
Darnell Mooney,2020,Tulane,2019,713.0,5.0,2679.0,19.0,26.6,26.3,26.5
K.J. Osborn,2020,Miami,2019,547.0,5.0,3239.0,27.0,16.9,18.5,17.7
Donovan Peoples-Jones,2020,Michigan,2019,438.0,6.0,3261.0,25.0,13.4,24.0,18.7
Quez Watkins,2020,Southern Miss,2019,1178.0,6.0,3764.0,20.0,31.3,30.0,30.6
James Proche,2020,SMU,2019,1225.0,15.0,4018.0,35.0,30.5,42.9,36.7
Isaiah Hodgins,2020,Oregon State,2019,1171.0,13.0,3061.0,30.0,38.3,43.3,40.8
Dezmon Patmon,2020,Washington State,2019,762.0,8.0,5679.0,50.0,13.4,16.0,14.7
Freddie Swain,2020,Florida,2019,517.0,7.0,3910.0,33.0,13.2,21.2,17.2
Jauan Jennings,2020,Tennessee,2019,969.0,8.0,2878.0,19.0,33.7,42.1,37.9
K.J. Hill,2020,Ohio State,2019,636.0,10.0,3684.0,48.0,17.3,20.8,19.0
Tyrie Cleveland,2020,Florida,2019,351.0,1.0,3910.0,33.0,9.0,3.0,6.0
Ja'Marr Chase,2021,LSU,2020,1780.0,20.0,6024.0,61.0,29.5,32.8,31.2
Jaylen Waddle,2021,Alabama,2020,591.0,4.0,4656.0,42.0,12.7,9.5,11.1
DeVonta Smith,2021,Alabama,2020,1856.0,23.0,4656.0,42.0,39.9,54.8,47.3
Kadarius Toney,2021,Florida,2020,984.0,10.0,4543.0,46.0,21.7,21.7,21.7
Rashod Bateman,2021,Minnesota,2020,472.0,2.0,1394.0,7.0,33.9,28.6,31.2
Elijah Moore,2021,Ole Miss,2020,1193.0,8.0,3450.0,30.0,34.6,26.7,30.6
Rondale Moore,2021,Purdue,2020,270.0,0.0,1854.0,15.0,14.6,,7.3
D'Wayne Eskridge,2021,Western Michigan,2020,768.0,8.0,1704.0,18.0,45.1,44.4,44.8
Tutu Atwell,2021,Louisville,2020,625.0,7.0,2686.0,24.0,23.3,29.2,26.2
Terrace Marshall Jr.,2021,LSU,2020,731.0,10.0,3121.0,24.0,23.4,41.7,32.5
Josh Palmer,2021,Tennessee,2020,475.0,4.0,2047.0,14.0,23.2,28.6,25.9
Dyami Brown,2021,North Carolina,2020,1084.0,8.0,3617.0,31.0,30.0,25.8,27.9
Amari Rodgers,2021,Clemson,2020,1020.0,7.0,4182.0,31.0,24.4,22.6,23.5
Nico Collins,2021,Michigan,2020,729.0,7.0,3261.0,23.0,22.4,30.4,26.4
Anthony Schwartz,2021,Auburn,2020,652.0,3.0,2422.0,12.0,26.9,25.0,26.0
Dez Fitzpatrick,2021,Louisville,2020,833.0,3.0,2686.0,20.0,31.0,15.0,23.0
Amon-Ra St. Brown,2021,USC,2020,478.0,7.0,1916.0,17.0,24.9,41.2,33.1
Jaelon Darden,2021,North Texas,2020,1190.0,19.0,2830.0,28.0,42.0,67.9,55.0
Tylan Wallace,2021,Oklahoma State,2020,917.0,6.0,2630.0,18.0,34.9,33.3,34.1
Jacob Harris,2021,UCF,2020,539.0,8.0,3521.0,32.0,15.3,25.0,20.2
Ihmir Smith-Marsette,2021,Iowa,2020,345.0,4.0,1581.0,9.0,21.8,44.4,33.1
Simi Fehoko,2021,Stanford,2020,584.0,3.0,1726.0,7.0,33.8,42.9,38.3
Cornell Powell,2021,Clemson,2020,882.0,7.0,4182.0,31.0,21.1,22.6,21.8
Frank Darby,2021,Arizona State,2020,46.0,1.0,777.0,5.0,5.9,20.0,13.0
Marquez Stevenson,2021,Houston,2020,307.0,4.0,2126.0,15.0,14.4,26.7,20.6
Shi Smith,2021,South Carolina,2020,621.0,4.0,1872.0,8.0,33.2,50.0,41.6
Racey McMath,2021,LSU,2020,195.0,1.0,3121.0,24.0,6.2,4.2,5.2
Jalen Camp,2021,Georgia Tech,2020,392.0,4.0,1991.0,14.0,19.7,28.6,24.1
Seth Williams,2021,Auburn,2020,744.0,4.0,2422.0,12.0,30.7,33.3,32.0
Dazz Newsome,2021,North Carolina,2020,684.0,6.0,3617.0,31.0,18.9,19.4,19.1
Mike Strachan,2021,Charleston (WV),2020,,,,,,,
Tre Nixon,2021,UCF,2020,258.0,2.0,3521.0,32.0,7.3,6.2,6.8
Ben Skowronek,2021,Notre Dame,2020,439.0,5.0,2849.0,15.0,15.4,33.3,24.4
Kawaan Baker,2021,South Alabama,2020,656.0,8.0,2718.0,18.0,24.1,44.4,34.3
Dax Milne,2021,BYU,2020,1189.0,8.0,3984.0,33.0,29.8,24.2,27.0
Drake London,2022,USC,2021,1084.0,7.0,3580.0,21.0,30.3,33.3,31.8
